tool	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 
run set	default-BDD.ExistRandomExist	default-BDD.ExistRandomExist	default-BDD.ExistRandomExist	default-BDD.ExistRandomExist	default-Cachet.ExistRandomExist	default-Cachet.ExistRandomExist	default-Cachet.ExistRandomExist	default-Cachet.ExistRandomExist
test-cases/benchmarks/	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
ere-ToiletA/toilet_a_08_01.13.sdimacs	TIMEOUT (ERROR (1))	901.152750879	901.1885237018578	1941.856256	TIMEOUT (ERROR (1))	901.000532622	902.5510606300086	51.617792
ere-ToiletA/toilet_a_08_01.14.sdimacs	TIMEOUT (ERROR (1))	901.152770842	901.1846870959271	1926.254592	TIMEOUT (ERROR (1))	901.002800098	902.4412065451033	51.920896
ere-ToiletA/toilet_a_08_01.15.sdimacs	TIMEOUT (ERROR (1))	901.167331284	901.1890629760455	1853.902848	TIMEOUT (ERROR (1))	901.003688406	902.6383046838455	52.154368
ere-ToiletA/toilet_a_08_01.16.sdimacs	TIMEOUT (ERROR (1))	901.181000172	901.201903637033	2078.937088	TIMEOUT (ERROR (1))	901.004597793	902.5775579665788	53.436416
ere-ToiletA/toilet_a_08_01.2.sdimacs	done	0.664523332	0.6658550009597093	27.025408	done	0.235363382	0.23947591800242662	47.366144
ere-ToiletA/toilet_a_08_01.3.sdimacs	done	1.789836782	1.7914007210638374	38.162432	done	1.258512468	1.2611642288975418	47.923200
ere-ToiletA/toilet_a_08_01.4.sdimacs	done	11.959581812	11.961987794842571	129.773568	done	27.346374491	27.3834526007995	48.046080
ere-ToiletA/toilet_a_08_01.5.sdimacs	done	37.547955378	37.5505466258619	323.239936	done	73.20372331	73.29933167807758	48.549888
ere-ToiletA/toilet_a_08_01.6.sdimacs	done	239.2593205	239.26775535894558	1224.445952	done	193.174556226	193.494952484034	49.111040
ere-ToiletA/toilet_a_08_01.7.sdimacs	TIMEOUT (ERROR (1))	901.248945525	901.2723280678038	2831.474688	done	600.18988397	601.0863601299934	52.744192
ere-ToiletA/toilet_a_08_01.8.sdimacs	TIMEOUT (ERROR (1))	901.242178338	901.2637014870998	2765.778944	TIMEOUT (ERROR (1))	901.004465999	902.4187615057454	55.427072
ere-ToiletA/toilet_a_08_01.9.sdimacs	TIMEOUT (ERROR (1))	901.23998699	901.2707498678938	2663.755776	TIMEOUT (ERROR (1))	901.004470122	902.160873206798	53.198848
ere-ToiletA/toilet_a_08_05.10.sdimacs	TIMEOUT (ERROR (1))	901.242878935	901.2687560000923	2737.340416	TIMEOUT (ERROR (1))	901.003687269	902.8360474789515	55.996416
ere-ToiletA/toilet_a_08_05.2.sdimacs	TIMEOUT (ERROR (1))	901.177838066	901.2900390739087	2876.362752	done	0.259267755	0.26152682909742	47.747072
ere-ToiletA/toilet_a_08_05.3.sdimacs	TIMEOUT (ERROR (1))	901.251462809	901.2744266979862	2830.225408	done	5.298891049	5.310170075856149	48.271360
ere-ToiletA/toilet_a_08_05.4.sdimacs	TIMEOUT (ERROR (1))	901.247115946	901.2669899580069	2788.233216	TIMEOUT (ERROR (1))	901.00467046	902.4213271499611	54.882304
ere-ToiletA/toilet_a_08_05.5.sdimacs	TIMEOUT (ERROR (1))	901.237272837	901.258645941969	2767.724544	TIMEOUT (ERROR (1))	901.002696325	902.3826629128307	54.996992
ere-ToiletA/toilet_a_08_05.6.sdimacs	TIMEOUT (ERROR (1))	901.228417224	901.2502767529804	2751.295488	TIMEOUT (ERROR (1))	901.008147213	902.4613949158229	55.357440
ere-ToiletA/toilet_a_08_05.7.sdimacs	TIMEOUT (ERROR (1))	901.259972167	901.2817385660019	2840.539136	TIMEOUT (ERROR (1))	901.003655565	902.2066893852316	55.832576
ere-ToiletA/toilet_a_08_05.8.sdimacs	TIMEOUT (ERROR (1))	901.152850068	901.268765586894	2796.011520	TIMEOUT (ERROR (1))	901.004271044	902.3052668236196	55.709696
ere-ToiletA/toilet_a_08_05.9.sdimacs	TIMEOUT (ERROR (1))	901.227931746	901.2600798951462	2748.514304	TIMEOUT (ERROR (1))	901.004840483	902.2361619882286	56.520704
ere-ToiletA/toilet_a_08_10.2.sdimacs	done	0.320365379	0.32213094900362194	21.204992	done	0.308179028	0.3098069583065808	47.968256
ere-ToiletA/toilet_a_10_01.10.sdimacs	TIMEOUT (ERROR (1))	901.198593832	901.2291691419668	2437.357568	TIMEOUT (ERROR (1))	900.8886672	901.0069442749955	58.490880
ere-ToiletA/toilet_a_10_01.11.sdimacs	TIMEOUT (ERROR (1))	901.204083147	901.223196543986	2426.101760	TIMEOUT (ERROR (1))	900.914276518	901.0066615189426	57.839616
ere-ToiletA/toilet_a_10_01.12.sdimacs	TIMEOUT (ERROR (1))	901.196683161	901.2178490380757	2396.549120	TIMEOUT (ERROR (1))	900.919529487	901.0074960319325	58.572800
ere-ToiletA/toilet_a_10_01.13.sdimacs	TIMEOUT (ERROR (1))	901.204888878	901.2253673169762	2369.155072	TIMEOUT (ERROR (1))	900.808940834	901.0071017560549	57.917440
ere-ToiletA/toilet_a_10_01.14.sdimacs	TIMEOUT (ERROR (1))	901.201721537	901.2234995141625	2333.765632	TIMEOUT (ERROR (1))	900.912390274	901.0064507438801	58.388480
ere-ToiletA/toilet_a_10_01.15.sdimacs	TIMEOUT (ERROR (1))	901.183442106	901.2145182262175	2331.918336	TIMEOUT (ERROR (1))	900.908559615	901.0070641017519	58.798080
ere-ToiletA/toilet_a_10_01.16.sdimacs	TIMEOUT (ERROR (1))	901.19350535	901.221946103964	2349.629440	TIMEOUT (ERROR (1))	900.913161574	901.0073297489434	59.072512
ere-ToiletA/toilet_a_10_01.17.sdimacs	TIMEOUT (ERROR (1))	901.123213043	901.2252383148298	2344.509440	TIMEOUT (ERROR (1))	900.917800421	901.0071747242473	58.916864
ere-ToiletA/toilet_a_10_01.18.sdimacs	TIMEOUT (ERROR (1))	901.191584778	901.2137334768195	2283.958272	TIMEOUT (ERROR (1))	900.852457251	901.007430925034	59.539456
ere-ToiletA/toilet_a_10_01.19.sdimacs	TIMEOUT (ERROR (1))	901.195735492	901.2180452691391	2272.542720	TIMEOUT (ERROR (1))	900.929034937	901.0072804670781	58.847232
ere-ToiletA/toilet_a_10_01.2.sdimacs	done	13.499796973	13.500940217869356	77.221888	done	3.990133133	3.992444180883467	55.943168
ere-ToiletA/toilet_a_10_01.20.sdimacs	TIMEOUT (ERROR (1))	901.191081069	901.2132571330294	2216.046592	TIMEOUT (ERROR (1))	900.926042935	901.006964975968	59.453440
ere-ToiletA/toilet_a_10_01.3.sdimacs	done	32.948018286	32.94997507613152	144.322560	done	10.401057261	10.404970163945109	56.295424
ere-ToiletA/toilet_a_10_01.4.sdimacs	done	225.046429923	225.05378925497644	799.608832	done	213.289920327	213.3113873526454	56.709120
