tool	DC-SSAT 	DC-SSAT 	DC-SSAT 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 
run set	dcssat-er.default.Application	dcssat-er.default.Application	dcssat-er.default.Application	erssat.default-BDD.Application	erssat.default-BDD.Application	erssat.default-BDD.Application	erssat.default-BDD.Application	erssat.default-BDD.Application	erssat.bare-BDD.Application	erssat.bare-BDD.Application	erssat.bare-BDD.Application	erssat.bare-BDD.Application	erssat.bare-BDD.Application
test-cases/benchmarks/	status	cputime (s)	sat. prob.	status	cputime (s)	sat. prob.	LB	T-LB	status	cputime (s)	sat. prob.	LB	T-LB
ere-MPEC/ere-mem_ctrl-0.125-0.01.sdimacs	SEGMENTATION FAULT	2.181367069		SEGMENTATION FAULT	438.788764805				SEGMENTATION FAULT	0.926681894			
ere-MPEC/ere-mem_ctrl-0.125-0.10.sdimacs	SEGMENTATION FAULT	3.094703137		TIMEOUT (ERROR (1))	900.977810759		0.000000	0.00	SEGMENTATION FAULT	1.294049225			
ere-MPEC/ere-multiplier-0.125-0.01.sdimacs	TIMEOUT	901.246543271		SEGMENTATION FAULT	131.055500778				SEGMENTATION FAULT	0.851195233			
ere-MPEC/ere-multiplier-0.125-0.10.sdimacs	SEGMENTATION FAULT	3.641955303		SEGMENTATION FAULT	232.301744426				SEGMENTATION FAULT	1.122168769			
ere-MPEC/ere-priority-0.125-0.01.sdimacs	OUT OF MEMORY	538.495314304		TIMEOUT (ERROR (1))	900.999260658		0.4445801	139.73	TIMEOUT (ERROR (1))	900.987214108		0.5886683	556.81
ere-MPEC/ere-priority-0.125-0.10.sdimacs	OUT OF MEMORY	873.49360328		TIMEOUT (ABORTED)	900.939521156				TIMEOUT (ERROR (1))	901.002836527		0.000000	0.00
ere-MPEC/ere-router-0.125-0.01.sdimacs	TIMEOUT	901.111011596		TIMEOUT (ERROR (1))	900.995691195		0.1250000	0.36	TIMEOUT (ERROR (1))	901.12492498		0.1250000	0.38
ere-MPEC/ere-router-0.125-0.10.sdimacs	OUT OF MEMORY	417.802569165		TIMEOUT (ABORTED)	901.009445141				TIMEOUT (ERROR (1))	901.006604127		0.000000	0.00
ere-MPEC/ere-sin-0.125-0.01.sdimacs	TIMEOUT	901.575834358		TIMEOUT (ERROR (1))	901.027726125		0.000000	0.00	TIMEOUT (ERROR (1))	900.933210195		0.000000	0.00
ere-MPEC/ere-sin-0.125-0.10.sdimacs	TIMEOUT	901.5936045		TIMEOUT (ERROR (1))	901.007866937		0.000000	0.00	TIMEOUT (ERROR (1))	901.028185346		0.000000	0.00
ere-MPEC/ere-sqrt-0.125-0.01.sdimacs	TIMEOUT	901.137234595		SEGMENTATION FAULT	119.537540741				SEGMENTATION FAULT	1.011787449			
ere-MPEC/ere-sqrt-0.125-0.10.sdimacs	SEGMENTATION FAULT	3.270042297		SEGMENTATION FAULT	183.2751845				SEGMENTATION FAULT	1.068352958			
ere-MPEC/ere-square-0.125-0.01.sdimacs	TIMEOUT	901.373850256		TIMEOUT (ERROR (1))	900.938462734		0.000000	0.00	TIMEOUT (ERROR (1))	901.027975163		0.000000	0.00
ere-MPEC/ere-square-0.125-0.10.sdimacs	OUT OF MEMORY	640.015374276		SEGMENTATION FAULT	114.125307601				SEGMENTATION FAULT	0.842477133			
ere-MPEC/ere-voter-0.125-0.01.sdimacs	TIMEOUT	901.026135692		TIMEOUT (ERROR (1))	901.012639827		0.000000	0.00	TIMEOUT (ABORTED)	901.059760742			
ere-MPEC/ere-voter-0.125-0.10.sdimacs	TIMEOUT	901.07764488		TIMEOUT (ERROR (1))	900.964600522		0.000000	0.00	TIMEOUT (ERROR (1))	900.968457315		0.000000	0.00
ere-sand-castle/SC-1.sdimacs	done	0.007373566	0.25	done	0.042881787	0.2500000			done	0.043850325	0.2500000		
ere-sand-castle/SC-10.sdimacs	done	0.05164624	0.966887	done	7.298682296	0.9668871			done	3.867158516	0.9668871		
ere-sand-castle/SC-11.sdimacs	done	0.097117237	0.977229	done	28.68700569	0.9772289			done	12.976002849	0.9772289		
ere-sand-castle/SC-12.sdimacs	done	0.191526435	0.983528	done	119.738255462	0.9835279			done	58.233004055	0.9835279		
ere-sand-castle/SC-13.sdimacs	done	0.407415525	0.988652	done	468.065248353	0.9886524			done	162.627090716	0.9886524		
ere-sand-castle/SC-14.sdimacs	done	0.840431013	0.991795	TIMEOUT (ERROR (1))	901.031950053		0.9917950	532.24	done	447.633309966	0.9917950		
ere-sand-castle/SC-15.sdimacs	done	1.798965482	0.994345	TIMEOUT (ERROR (1))	901.025316009		0.9932152	813.50	TIMEOUT (ERROR (1))	901.009765094		0.9943451	766.87
ere-sand-castle/SC-16.sdimacs	done	3.819885524	0.995913	TIMEOUT (ERROR (1))	901.000314535		0.9937398	620.70	TIMEOUT (ERROR (1))	905.206673659		0.9940134	656.68
ere-sand-castle/SC-17.sdimacs	done	8.071497113	0.997182	TIMEOUT (ERROR (1))	901.001810772		0.9941520	460.79	TIMEOUT (ERROR (1))	900.774267646		0.9968811	392.75
ere-sand-castle/SC-18.sdimacs	done	17.152815115	0.997963	TIMEOUT (ERROR (1))	901.000133401		0.9943034	802.94	TIMEOUT (ERROR (1))	900.454773049		0.9967846	778.51
ere-sand-castle/SC-19.sdimacs	done	36.110743564	0.998596	TIMEOUT (ERROR (1))	900.893856413		0.9954279	824.26	TIMEOUT (ERROR (1))	900.523564693		0.9979610	668.89
ere-sand-castle/SC-2.sdimacs	done	0.006115284	0.46	done	0.046089791	0.4600000			done	0.045902884	0.4600000		
ere-sand-castle/SC-20.sdimacs	done	76.781267523	0.998985	TIMEOUT (ERROR (1))	900.988554324		0.9943109	384.53	TIMEOUT (ERROR (1))	900.965130561		0.9971768	195.49
ere-sand-castle/SC-21.sdimacs	done	161.39062537	0.9993	TIMEOUT (ERROR (1))	900.91553356		0.9943375	427.98	TIMEOUT (ERROR (1))	900.988857566		0.9973680	562.40
ere-sand-castle/SC-22.sdimacs	done	348.737052233	0.999494	TIMEOUT (ERROR (1))	901.000219269		0.9943509	442.56	TIMEOUT (ERROR (1))	900.875562805		0.9932387	34.75
ere-sand-castle/SC-23.sdimacs	OUT OF MEMORY	492.507424858		TIMEOUT (ERROR (1))	900.998456291		0.9943575	596.45	TIMEOUT (ERROR (1))	900.877457499		0.9951919	750.50
ere-sand-castle/SC-24.sdimacs	OUT OF MEMORY	503.401447346		TIMEOUT (ERROR (1))	900.984433443		0.9938325	183.63	TIMEOUT (ERROR (1))	900.514093188		0.9945341	297.81
